iter	Logloss
0	0.6732491325
1	0.655346728
2	0.6393846304
3	0.6251804265
4	0.6121477343
5	0.6006316792
6	0.5906800512
7	0.5812590995
8	0.5728613726
9	0.5652615986
10	0.558425266
11	0.5526261459
12	0.5473343246
13	0.5425038748
14	0.5380437416
15	0.5341261161
16	0.5303028327
17	0.5270412605
18	0.5240371674
19	0.5215645917
20	0.5192847185
21	0.5169646517
22	0.5147750573
23	0.512874678
24	0.5113201428
25	0.5096226778
26	0.5079860894
27	0.506494399
28	0.5052264275
29	0.5039279038
30	0.5028209872
31	0.5017858944
32	0.500830462
33	0.500010824
34	0.4991898118
35	0.4984768118
36	0.4978031508
37	0.4971956313
38	0.4965981406
39	0.4960116469
40	0.4954608974
41	0.4950124019
42	0.4945081968
43	0.4941149738
44	0.4936874502
45	0.4933470747
46	0.4929869727
47	0.4926421329
48	0.4923181553
49	0.491972805
50	0.4916897043
51	0.4914044286
52	0.4911943548
53	0.4909383669
54	0.4907240662
55	0.4904880717
56	0.4902959334
57	0.4901114646
58	0.4899755403
59	0.4897778281
60	0.4896327853
61	0.4895126342
62	0.4893739639
63	0.4892297337
64	0.4891313667
65	0.4890230952
66	0.4889291744
67	0.4888197203
68	0.4887361191
69	0.4886456679
70	0.4885634101
71	0.4884785295
72	0.4883993564
73	0.4883140462
74	0.4882469839
75	0.4881849483
76	0.4881068356
77	0.4880534081
78	0.4880023088
79	0.4879310751
80	0.487871312
81	0.4878081457
82	0.4877460469
83	0.4876656718
84	0.487619562
85	0.4875738196
86	0.4875333365
87	0.4874943848
88	0.487457467
89	0.4874046942
90	0.4873725409
91	0.4873360307
92	0.4872884277
93	0.4872538841
94	0.4872227426
95	0.4871853517
96	0.4871390407
97	0.4871001511
98	0.4870676972
99	0.4870297065
100	0.4869977521
101	0.4869619235
102	0.486926254
103	0.4869018281
104	0.4868729731
105	0.4868425079
106	0.4868090931
107	0.4867810615
108	0.4867542224
109	0.4867210967
110	0.4866979243
111	0.4866734288
112	0.4866510674
113	0.4866339933
114	0.4866102568
115	0.4865925373
116	0.4865713517
117	0.4865436946
118	0.486517684
119	0.4865000418
120	0.4864795895
121	0.4864657789
122	0.4864469451
123	0.4864264092
124	0.4864072109
125	0.4863866687
126	0.486364108
127	0.486347483
128	0.4863203869
129	0.4862961572
130	0.4862820744
131	0.48626082
132	0.4862414956
133	0.4862276742
134	0.4862085166
135	0.486191006
136	0.4861707216
137	0.4861531502
138	0.4861363441
139	0.4861205056
140	0.4861035254
141	0.4860815785
142	0.4860613716
143	0.4860467237
144	0.4860296403
145	0.4860174155
146	0.4859932495
147	0.4859827868
148	0.4859683732
149	0.485947974
150	0.4859289001
151	0.4859144677
152	0.4859015577
153	0.485881735
154	0.4858567276
155	0.4858396689
156	0.485826515
157	0.4858088392
158	0.4857958211
159	0.4857817284
160	0.4857591846
161	0.4857407564
162	0.48572259
163	0.4856975649
164	0.4856857023
165	0.485674349
166	0.4856576393
167	0.4856452391
168	0.4856319486
169	0.48562261
170	0.4856032929
171	0.4855834487
172	0.4855697087
173	0.4855499958
174	0.4855386201
175	0.4855194935
176	0.48549747
177	0.485484021
178	0.4854666713
179	0.4854484607
180	0.4854282546
181	0.485415472
182	0.4854023185
183	0.4853917008
184	0.4853838338
185	0.4853670677
186	0.4853511751
187	0.485333947
188	0.4853194102
189	0.4853065375
190	0.4852936105
191	0.4852733827
192	0.4852620045
193	0.4852476781
194	0.4852303273
195	0.4852109791
196	0.4852007138
197	0.4851862467
198	0.4851735489
199	0.4851546
200	0.4851411381
201	0.4851272834
202	0.485116338
203	0.4851044338
204	0.485096511
205	0.4850799338
206	0.4850649871
207	0.4850505954
208	0.4850360725
209	0.4850231781
210	0.4850081248
211	0.4849982689
212	0.4849841506
213	0.4849722132
214	0.4849626823
215	0.4849480194
216	0.4849248726
217	0.4849076515
218	0.4848921056
219	0.4848798971
220	0.4848663933
221	0.4848502017
222	0.484836278
223	0.4848129994
224	0.484799702
225	0.4847878336
226	0.4847751941
227	0.4847594525
228	0.4847472766
229	0.4847310199
230	0.4847156131
231	0.4846987169
232	0.4846794541
233	0.4846630338
234	0.4846428479
235	0.4846285702
236	0.484612666
237	0.4846032718
238	0.4845937343
239	0.4845756718
240	0.4845557543
241	0.4845330685
242	0.4845157414
243	0.4845005226
244	0.4844760326
245	0.4844652119
246	0.4844448674
247	0.4844376712
248	0.4844232009
249	0.4844093667
250	0.484390477
251	0.4843640931
252	0.484351993
253	0.484339031
254	0.4843241237
255	0.4843102341
256	0.4842934317
257	0.4842832946
258	0.4842679234
259	0.4842536474
260	0.4842334946
261	0.484218082
262	0.4842004337
263	0.4841875451
264	0.4841753837
265	0.4841493972
266	0.4841272603
267	0.4841053735
268	0.4840808722
269	0.4840620203
270	0.4840511557
271	0.4840355544
272	0.4840137777
273	0.4839956608
274	0.4839836488
275	0.4839679245
276	0.4839528307
277	0.4839415364
278	0.4839229049
279	0.4839087189
280	0.4838900266
281	0.4838771632
282	0.4838613803
283	0.4838450391
284	0.4838259545
285	0.4838149065
286	0.4837997247
287	0.4837839696
288	0.4837640481
289	0.4837452333
290	0.4837268118
291	0.483705685
292	0.4836908658
293	0.4836786057
294	0.4836594754
295	0.4836381186
296	0.4836248964
297	0.4836122103
298	0.4835876995
299	0.4835715543
300	0.4835500352
301	0.4835362391
302	0.483522686
303	0.4835017313
304	0.4834859184
305	0.4834664081
306	0.4834401382
307	0.4834282946
308	0.4834161173
309	0.4833931135
310	0.4833720652
311	0.4833568248
312	0.4833364317
313	0.483322327
314	0.4832980105
315	0.4832813226
316	0.4832629254
317	0.4832503078
318	0.483228944
319	0.4832142178
320	0.4831938811
321	0.483172431
322	0.4831535383
323	0.4831388593
324	0.4831161874
325	0.4830916737
326	0.4830608279
327	0.4830411831
328	0.4830278487
329	0.4830040755
330	0.4829872534
331	0.4829697457
332	0.4829477303
333	0.4829286409
334	0.4829121302
335	0.4828913634
336	0.4828781438
337	0.4828651804
338	0.4828474823
339	0.4828208426
340	0.4828034561
341	0.4827846901
342	0.4827635922
343	0.4827497988
344	0.4827338847
345	0.4827191498
346	0.4827026526
347	0.4826815118
348	0.4826654698
349	0.4826456906
350	0.4826281765
351	0.4826087373
352	0.4825836321
353	0.482562671
354	0.4825380068
355	0.4825261476
356	0.4825060294
357	0.4824854518
358	0.4824638547
359	0.4824451865
360	0.48241708
361	0.4823990063
362	0.482379764
363	0.4823620564
364	0.4823382852
365	0.4823184321
366	0.4822899969
367	0.4822733097
368	0.4822585567
369	0.482239065
370	0.4822230598
371	0.4822008167
372	0.4821889264
373	0.4821727627
374	0.4821446958
375	0.4821288467
376	0.4821046549
377	0.4820859027
378	0.4820747225
379	0.4820492917
380	0.4820282821
381	0.482014698
382	0.4819984336
383	0.4819814904
384	0.4819624977
385	0.4819449931
386	0.4819258384
387	0.481908024
388	0.4818823875
389	0.4818667791
390	0.4818488379
391	0.4818311867
392	0.4818110206
393	0.481794304
394	0.4817771332
395	0.4817611285
396	0.4817381462
397	0.4817240694
398	0.4817073039
399	0.4816891286
400	0.4816799902
401	0.4816616279
402	0.4816416086
403	0.481619166
404	0.4815999113
405	0.4815871601
406	0.4815689633
407	0.481550146
408	0.4815254453
409	0.4815061902
410	0.4814865365
411	0.4814671721
412	0.4814493087
413	0.4814214574
414	0.4813971154
415	0.4813863888
416	0.4813686962
417	0.48134854
418	0.4813281215
419	0.4813084084
420	0.4812869497
421	0.4812725574
422	0.4812455487
423	0.481226188
424	0.4811986648
425	0.4811760099
426	0.4811560378
427	0.4811352644
428	0.481118933
429	0.4811005206
430	0.4810870357
431	0.4810637821
432	0.4810379238
433	0.481029586
434	0.4810080386
435	0.4809889465
436	0.4809681478
437	0.4809498599
438	0.4809298624
439	0.4809097871
440	0.4808945565
441	0.4808701796
442	0.4808497173
443	0.4808305849
444	0.4808097103
445	0.4807896081
446	0.480769951
447	0.4807477972
448	0.4807274072
449	0.4807179367
450	0.4807022811
451	0.4806887973
452	0.4806732667
453	0.4806542459
454	0.4806346001
455	0.4806127739
456	0.4805940804
457	0.480573227
458	0.4805555319
459	0.4805351468
460	0.4805160295
461	0.4804991043
462	0.4804772366
463	0.4804677106
464	0.480455521
465	0.4804372926
466	0.4804165843
467	0.4804000964
468	0.4803700215
469	0.4803553577
470	0.4803303911
471	0.4803131858
472	0.4802935502
473	0.4802736584
474	0.4802459413
475	0.4802281402
476	0.4802177437
477	0.4801994647
478	0.4801754001
479	0.4801585989
480	0.4801461877
481	0.4801286673
482	0.4801123697
483	0.4800944504
484	0.4800791919
485	0.4800670702
486	0.4800426595
487	0.4800222213
488	0.480001981
489	0.4799867377
490	0.4799685658
491	0.479947311
492	0.479933147
493	0.4799203391
494	0.4798994811
495	0.4798792096
496	0.4798589511
497	0.4798419351
498	0.4798250637
499	0.4798057229
