iter	Passed	Remaining
323	38111	20702
324	38231	20586
325	38340	20463
326	38465	20350
327	38572	20227
328	38688	20108
329	38824	20000
330	38959	19891
331	39080	19775
332	39206	19662
333	39321	19542
334	39457	19434
335	39596	19326
336	39707	19205
337	39831	19090
338	39937	18967
339	40056	18850
340	40173	18731
341	40288	18612
342	40412	18497
343	40534	18381
344	40645	18260
345	40771	18146
346	40887	18028
347	41009	17912
348	41118	17790
349	41247	17677
350	41357	17556
351	41470	17436
352	41573	17312
353	41699	17198
354	41853	17094
355	41978	16980
356	42105	16865
357	42230	16750
358	42348	16632
359	42467	16515
360	42583	16396
361	42689	16273
362	42799	16152
363	42902	16029
364	43013	15909
365	43136	15793
366	43251	15674
367	43368	15556
368	43491	15440
369	43621	15326
370	43748	15211
371	43864	15093
372	43987	14977
373	44116	14862
374	44249	14749
375	44379	14635
376	44520	14525
377	44633	14405
378	44738	14283
379	44891	14176
380	45049	14070
381	45173	13954
382	45310	13841
383	45437	13725
384	45596	13619
385	45749	13511
386	45892	13400
387	46029	13286
388	46146	13167
389	46280	13053
390	46392	12933
391	46534	12820
392	46703	12715
393	46852	12605
394	46980	12488
395	47099	12369
396	47213	12249
397	47330	12129
398	47464	12014
399	47584	11896
400	47711	11779
401	47853	11665
402	47994	11552
403	48128	11436
404	48268	11322
405	48399	11205
406	48548	11093
407	48702	10981
408	48846	10867
409	48991	10754
410	49133	10639
411	49284	10526
412	49430	10412
413	49582	10299
414	49733	10186
415	49877	10071
416	50017	9955
417	50147	9837
418	50284	9720
419	50448	9609
420	50595	9494
421	50745	9379
422	50910	9267
423	51057	9151
424	51177	9031
425	51317	8914
426	51452	8796
427	51587	8678
428	51720	8559
429	51860	8442
430	51980	8321
431	52111	8202
432	52235	8082
433	52363	7963
434	52484	7842
435	52628	7725
436	52752	7605
437	52876	7484
438	53027	7368
439	53152	7248
440	53283	7128
441	53419	7009
442	53553	6890
443	53691	6771
444	53823	6652
445	53947	6531
446	54078	6412
447	54216	6292
448	54352	6173
449	54493	6054
450	54637	5936
451	54797	5819
452	54937	5699
453	55085	5581
454	55250	5464
455	55417	5347
456	55568	5228
457	55735	5111
458	55961	4998
459	56100	4878
460	56222	4756
461	56361	4635
462	56498	4514
463	56636	4394
464	56781	4273
465	56907	4152
466	57035	4030
467	57155	3908
468	57283	3786
469	57418	3665
470	57534	3542
471	57683	3421
472	57822	3300
473	57968	3179
474	58118	3058
475	58261	2937
476	58401	2815
477	58527	2693
478	58683	2572
479	58835	2451
480	58974	2329
481	59111	2207
482	59255	2085
483	59428	1964
484	59569	1842
485	59703	1719
486	59818	1596
487	59965	1474
488	60124	1352
489	60266	1229
490	60424	1107
491	60559	984
492	60701	861
493	60849	739
494	60982	615
495	61110	492
496	61235	369
497	61362	246
498	61484	123
499	61625	0
